stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
2515,"RABUK01","Rabowice/Bukowa",52.3906840000,17.1190960000,C
2754,"GDSPE02","Gądki/Spedycyjna",52.3103302600,17.0524906900,B
282,"ZLLAG02","Złotniki/Łagiewnicka",52.4914781500,16.8466062100,B
1948,"PMFOL01","Przeźmierowo/Folwarczna",52.4268080000,16.7919810000,B
2531,"RASWI01","Rabowice/Świerkowa",52.3771890000,17.1088480000,C
2974,"BRKUR02","Borówiec/Kurkowa",52.2811997299,17.0208586051,B
636,"ZGOR01","Zgorzelecka",52.4120717800,16.8580344800,A
1629,"GLHE01","Głogowska/Hetmańska",52.3905333300,16.8934472500,A
974,"LUKLL02","Luboń/Kołłątaja",52.3424935544,16.8619491625,B
329,"SLPRO02","Suchy Las/Promienista",52.4781626300,16.8604308500,B
3622,"KALI01","Kalinowa",52.3690518989,16.9036540366,A
1487,"LUBU02","Lubuszańska",52.3801304409,16.9743280077,A
1208,"CZEA01","Czerwonacka",52.4352924338,16.9803048209,A
2004,"LWOTO02","Lusowo/Otowska",52.4259554000,16.7150521600,C
1072,"TACZ02","Taczanowskiego",52.3915854300,16.8677131200,A
2502,"WZMEH01","Wierzenica/Mechowo",52.4407420000,17.0559040000,B
2467,"PKALT02","Paczkowo/Altanowa",52.4064900000,17.1656330000,C
1508,"SSZP01","Szwajcarska Szpital",52.3898759600,16.9925383700,A
3980,"SPKA04","Spławska",52.3571048734,17.0003898646,A
3844,"MERA01","Meissnera",52.4188519375,16.8654171899,A
729,"ROSK01","Rondo Skubiszewskiego",52.3899356513,16.8529470488,A
1026,"SMIE01","Śmiełowska",52.3738876800,16.8769520100,A
1701,"ROSK41","Rondo Skubiszewskiego",52.3901366400,16.8543457700,A
1478,"LI01","Os. Lecha I",52.3878126200,16.9678225400,A
1554,"SPKA02","Spławska",52.3567125100,17.0002986500,A
433,"RDWA01","Rdestowa",52.4899311000,16.9417111700,A
734,"STMI01","Stadion Miejski",52.3961310000,16.8624166100,A
3748,"DHWIA01","Dachowa/Wiatrakowa",52.3023393500,17.0880401100,B
1305,"KALOT02","Kamionki/Lotnicza",52.2849603500,17.0001225400,B
516,"RZEP02","Rzepeckiej",52.4549770000,16.8826823700,A
2852,"GALC02","Gałczyńskiego",52.4065310526,16.8507924445,A
703,"ZKSWI01","Zakrzewo/Świerkowa",52.3984719500,16.7163313800,C
2665,"KDINS02","Kórnik/Parkowa Instytut",52.2450821500,17.0961829700,C
3104,"MGPOL01","M. Goślina/Polna",52.5785668184,17.0180399105,C
339,"LEWI02","Łęgowskiego Wiadukt",52.4631964400,16.8893035600,A
1794,"RSROS01","Rosnowo/",52.3252390600,16.7822946900,C
2983,"ZLOGP02","Złotniki/Os. Grzybowe PKM",52.4842624248,16.8448008738,B
362,"HULE01","Hulewiczów",52.4565911000,16.8979252100,A
2315,"KEPAL01","Krerowo/Pałac",52.2959357000,17.1947378400,B
799,"URWO01","Urząd Wojewódzki",52.4111032500,16.9190324100,A
3206,"ZROWO01","Zborowo/",52.3722760000,16.6315260000,C
1571,"TARC02","Tarczowa",52.3781275800,16.8957220000,A
1985,"BTBRZ02","Batorowo/Brzask",52.4227121100,16.7321550700,C
429,"UMTA01","Umultowo",52.4819694900,16.9436187200,A
777,"MARS02","Marszałkowska",52.4007296784,16.8641480394,A
2887,"POOSI02","Poklatki/Osiedle",52.3294866800,17.2034851800,B
325,"SLPRZ02","Suchy Las/Os. Przylesie",52.4733187600,16.8979097800,B
2086,"CKKOL01","Ceradz Kościelny/Kościół",52.4375433700,16.5924837000,C
3829,"RKPKM03","Rokietnica/Węzeł Przesiadkowy",52.5111400000,16.7547300000,B
3276,"RBZER01","Robakowo/Żernicka Magazyny",52.3144883500,17.0716458500,B
1818,"WISE04","Wilczak/Serbska",52.4307468300,16.9515943800,A
3339,"WYWIE01","Wysogotowo/Wierzbowa",52.4144321700,16.7763959900,B
2117,"NKRZ01","Nad Krzesinką",52.3361875492,17.0085507972,A
4113,"GRMEC01","Gruszczyn/Mechowska",52.4296028792,17.0706211088,B
2314,"KEPAL02","Krerowo/Pałac",52.2954916400,17.1947686100,B
1802,"SZDWO02","Szreniawa/Dworcowa",52.3178147185,16.7930608565,C
1540,"KRSZ01","Krzesiny Szkoła",52.3411399600,16.9924082900,A
1113,"SLKA06","Słowiańska",52.4270017600,16.9212802300,A
1203,"KZOSL02","Koziegłowy/Os. Leśne",52.4533864300,16.9920604200,B
3237,"KNCME01","Konarzewo/Cmentarz",52.3332330000,16.7039650000,C
119,"GRUD71","27 Grudnia",52.4080400000,16.9243200000,A
1936,"PMBRZ01","Przeźmierowo/Brzozowa",52.4197678200,16.7747521900,B
519,"TULO01","Tułodzieckiej",52.4524763700,16.8871356900,A
1596,"PAMI71","Pamiątkowa",52.3871000200,16.9161885900,A
2555,"GAPET01","Garby Wielkie/Pętla",52.3722850000,17.0740970000,C
18,"SWLE41","Św. Leonarda",52.4328200000,16.9113300000,A
3746,"BJPRZ02","Błażejewo/Os. Przylesie",52.2187621800,17.0764783500,C
2136,"KXGRA02","Koninko/Granatowa",52.3069560000,17.0198840000,B
2281,"KYBRZ02","Kliny/Brzozowa",52.4898439700,17.0600334800,C
30,"SZYM41","Szymanowskiego",52.4603958500,16.9171552600,A
534,"LUDO01","Lutycka/Dojazd",52.4408641700,16.9009890200,A
3936,"SERB42","Serbska",52.4315024800,16.9457868800,A
2007,"LWSWA01","Lusowo/Swadzimska",52.4314809700,16.7056440400,C
1549,"ZEWI01","Żerniki/Wieś",52.3325153980,17.0575754228,B
1308,"KALAK01","Kamionki/Łąkowa",52.2884008800,16.9816866100,B
35,"ZNIW42","Żniwna",52.4247660000,16.9268332600,A
2019,"CYCDR02","Chyby/Cedrowa",52.4522397117,16.7746729326,B
2617,"KDREJ01","Kórnik/Reja",52.2529472800,17.0821979700,C
462,"SARM01","Sarmacka",52.4470172200,16.9277737600,A
2508,"JSRDW02","Jasin/Rabowicka I",52.4002010000,17.0943020000,B
916,"LUTAR02","Luboń/Targowa",52.3383528026,16.8746259094,B
1782,"KONOW01","Komorniki/Nowa",52.3392549602,16.8157284739,B
1140,"KATE02","Katedra",52.4102740200,16.9478526000,A
1736,"PLWOL01","Plewiska/Wołczyńska",52.3763375800,16.8235693800,B
2499,"BGLIG01","Bogucin/Ligowiec",52.4377110000,17.0365700000,B
2297,"KFPET02","Karłowice/Pętla",52.4973890300,17.1066667200,C
1542,"KRWI01","Krzesiny Wiadukt",52.3399782700,16.9996564200,A
3123,"KNDOP01","Konarzewo/Dopiewska",52.3357364414,16.7084409881,C
815,"DEEC02","Dębiec PKM",52.3710025600,16.9016160500,A
1756,"GLSPO01","Głuchowo/Spokojna",52.3487174844,16.7718837531,C
1633,"KONOW04","Komorniki/Nowa",52.3380680800,16.8165677600,B
2466,"PKFOL01","Paczkowo/Folwarczna",52.4027530000,17.1636350000,C
2757,"DHKRE02","Dachowa/Kręta",52.3041175400,17.0823806100,B
2841,"LUPOL01","Luboń/Polna",52.3217137172,16.8736666678,B
1502,"PK01","Piaśnicka/Kurlandzka",52.3843560800,16.9867470100,A
1442,"NOGO02","Nowowiejskiego",52.4148221700,16.9196701800,A
3625,"LUWSC01","Luboń/Wschodnia ",52.3431159868,16.8820784789,B
3341,"RUNOA01","Rumianek/Nowa II",52.4623013300,16.6307977000,C
914,"LUTAR04","Luboń/Targowa",52.3395977753,16.8755851510,B
4029,"KOTU01","Kościelna Tunel",52.4181135019,16.9062218526,A
4252,"DWZA93","Dworzec Zachodni",52.4016395717,16.9083026691,A
1986,"BTZAK01","Batorowo/Zakrzewska",52.4241627600,16.7197013400,C
1770,"PLSZK01","Plewiska/Szkoła",52.3632100000,16.8070200000,B
831,"DENZ02","Dębina",52.3776519000,16.9268052800,A
262,"ZILAS02","Zielątkowo/Las",52.5462284100,16.8001455900,C
1574,"DMOW01","Dmowskiego",52.3870716600,16.8966194900,A
431,"LOPI01","Łopianowa",52.4868020500,16.9426238300,A
2335,"KVSKR02","Krzyżowniki/Boisko",52.3068118800,17.1316634900,B
1351,"STWI03","Starołęka Wielka",52.3415868200,16.9175363200,A
950,"WIPLD02","Wiry/Południowa",52.3175980974,16.8569168333,B
1858,"RKKAL01","Rokietnica/Os. Kalinowe",52.5050900300,16.7419787600,B
332,"SLJAG01","Suchy Las/Os. Jagodowe",52.4712284700,16.8684930200,B
1720,"POGL41","Poznań Główny",52.4030270500,16.9150742200,A
1648,"PJNZ01","Podjaryszki",52.3377043700,17.0150863200,A
234,"RSTA42","Rondo Starołęka",52.3810055800,16.9435005400,A
49,"ROSO41","Rondo Solidarności",52.4339826300,16.9379315500,A
3706,"BEPRZ01","Biskupice/Przylesie",52.4582520000,17.1668680000,C
205,"Z II41","Żegrze II",52.3807026800,16.9659212900,A
739,"GROC02","Grochowska",52.3986418900,16.8754286100,A
2923,"TZWIE01","Trzaskowo/Wieś",52.5338528600,17.0201506100,C
2124,"JRSKL02","Jaryszki/Składowa",52.3299190000,17.0162140000,B
1361,"CZER02","Czernichowska ",52.3468012300,16.9191201800,A
2241,"GWTAN01","Tanibórz/Wschód",52.3516694700,17.1465630000,B
399,"STOI02","Stoińskiego",52.4502145200,16.9271609000,A
2226,"SWORZ02","Szewce/Orzechowa",52.3588011600,17.0960952400,B
4001,"ZLGRZ04","Złotniki/Os. Grzybowe",52.4800720128,16.8577580145,B
4243,"TPMOD01","Tarnowo Pdg/Modrakowa",52.4752080000,16.6557550000,C
1420,"OBOH01","Os. Bohaterów II Wojny Światowej",52.3834586900,16.9470939000,A
1775,"RKAP72","Rondo Kaponiera",52.4083727700,16.9127450800,A
1070,"JUGO02","Jugosłowiańska",52.3911399600,16.8662390600,A
3168,"ZATRA04","Zalasewo/Transportowa",52.3812029919,17.0670792936,B
58,"OGDY41","Ogrody",52.4170536400,16.8824626700,A
2176,"BOSZK02","Bolechowo-Os./Szkoła",52.5412643600,16.9746370000,C
3940,"KNEKS01","Konarzewo/S5",52.3338958739,16.7289244860,C
2501,"JASZY01","Janikowo/Szybowcowa",52.4400610000,17.0448080000,B
3580,"UE01","Uniwersytet Ekonomiczny",52.4057383633,16.9173638130,A
3941,"COEKS02","Chomęcice/S5",52.3333364706,16.7350636324,C
564,"KRAJ02","Krajenecka",52.4547254800,16.8432035500,A
3332,"CDPOW01","Ceradz Dolny/Powstańców Wielkopolskich",52.4297049300,16.5826634500,C
605,"KOLO02","Kołobrzeska",52.4310730000,16.8385071200,A
161,"KORN44","Kórnicka",52.3991553500,16.9533801200,A
412,"OSZY02","Os. Zygmunta Starego",52.4602850600,16.9083573400,A
780,"WOPO02","Wojska Polskiego",52.4275206900,16.8978431400,A
1916,"BYPAW02","Bytkowo/Pawłowicka",52.5179181100,16.7770482300,B
3119,"TRCZI01","Trzek/Czereśniowa",52.3587731427,17.1524222827,B
1822,"PWPAW01","Pawłowice/Pawłowicka",52.4879881900,16.7987727600,B
794,"STRO01","Stróżyńskiego",52.4524870400,16.9032391400,A
2028,"KBLIP01","Kobylniki/Lipowa",52.4725984206,16.7485077727,B
2234,"GWCZE01","Gowarzewo/Czereśniowa",52.3597796300,17.1316287700,B
2619,"KDNIE02","Kórnik/Pl. Niepodległości",52.2484590700,17.0876259500,C
2660,"BEDEB02","Biernatki/Dębiecka",52.2301879000,17.1034884900,C
67,"BUKO41","Bukowska",52.4100521300,16.8888257200,A
301,"SLSZK01","Suchy Las/Szkoła",52.4763622500,16.8722816600,B
2891,"KLTOP02","Kleszczewo/Topolowa",52.3331661100,17.1771401900,B
2215,"CEKRE02","Czerwonak/Kręta",52.4753075700,16.9794763200,B
715,"ZONK02","Żonkilowa",52.3868266982,16.8182520173,A
662,"OWCZ01","Owcza",52.4069715800,16.8189420200,A
2575,"MGCME02","M. Goślina/Cmentarz",52.5712143600,17.0078878300,C
197,"BYST41","Bystra",52.3709991833,16.9345268592,A
64,"RJEZ74","Rynek Jeżycki",52.4122250800,16.9056406100,A
3850,"ROWIC01","Rosnówko/Wichrowa",52.3066573524,16.7624684276,C
2077,"LKDOP02","Lusówko/Dopiewska",52.4283745700,16.6455222800,C
3620,"KOJEZ04","Komorniki/Jeziorna",52.3289512252,16.8038191203,B
2951,"JSNZ02","Jaśkowiaka",52.4886400000,16.9153240000,A
83,"MATE71","Matejki",52.4057875800,16.9009328700,A
4043,"JROL41","Jasna Rola",52.4517717915,16.9449456990,A
2636,"BJMDW01","Błażejewo/Mikołajczyka II",52.2107484300,17.1008920600,C
2251,"POOSI01","Poklatki/Osiedle",52.3300611123,17.2034834521,B
258,"ZIOSP02","Zielątkowo/OSP",52.5599872100,16.7977223800,C
767,"SZAM02","Szamotulska",52.4044515900,16.8803991000,A
1862,"CRPRZ01","Cerekwica/Przybrodzka",52.5187811800,16.6909325200,B
1580,"PROM01","Promienista",52.3959185900,16.8810509200,A
1834,"KZDZI01","Koziegłowy/Działki",52.4496473600,17.0030254700,B
3075,"KXTEL02","Koninko/Telewizyjna",52.3088511343,17.0209619080,B
3343,"GVOSI02","Gaj Wielki/",52.4602940000,16.5752840000,C
2164,"CZWAR02","Czapury/Warta",52.3102736200,16.9104145500,B
2439,"LOPOP02","Łowęcin/II (Poprzeczna)",52.4198480000,17.1415980000,C
3253,"DOOSR03","Dopiewo/Ośrodek Zdrowia",52.3575918342,16.6834564332,C
1457,"NADW01","Nad Wierzbakiem",52.4207927400,16.9083536100,A
2216,"CEPKM02","Czerwonak/PKM",52.4681460800,16.9803936900,B
2128,"KXWEZ01","Koninko/Węzeł",52.3218895500,17.0296567300,B
1960,"PMWYS02","Przeźmierowo/Wysogotowska",52.4358981700,16.7726886200,B
1922,"SOPOZ02","Sobota/POZ BRUK",52.5169601900,16.8128209900,B
972,"LUKLO02","Luboń/Klonowa",52.3422950958,16.8563708035,B
2003,"SIDZI01","Sierosław/Działki",52.4016946000,16.6657545600,C
1786,"KNOSL01","Konarzewo/Os. 25-lecia",52.3349416700,16.7229043900,C
2484,"SDGER01","Swarzędz/Orla/Geremka",52.3967790000,17.0571480000,B
1892,"RTJOD02","Rostworowo/Jodłowa",52.5246939200,16.7500714500,B
2843,"LUKWI01","Luboń/Kwiatowa",52.3220025182,16.8793630873,B
723,"JUNI30","Junikowo",52.3835469700,16.8335096200,A
224,"POKA41","Polanka",52.3967500000,16.9625600000,A
2317,"KEKOS02","Krerowo/Kościół",52.2899883100,17.1934393400,B
2679,"SCSZK01","Szczodrzykowo/Szkoła",52.2852619500,17.1028057700,C
171,"AWF42","AWF",52.3996550000,16.9355200000,A
2530,"XRPET01","Kruszewnia/Pętla",52.3746730000,17.1031210000,C
451,"BORA01","Boranta",52.4565857324,16.9513652391,A
256,"ZIPOG01","Zielątkowo/Pogodna",52.5600237900,16.8069706400,C
968,"LUSTU01","Luboń/Studzienna",52.3428724274,16.8442991166,B
2232,"GWKAS02","Gowarzewo/Al. Kasztanowa",52.3576374500,17.1241345900,B
4054,"LISOW01","Lisówki/Sowia",52.3208202270,16.6626039962,C
115,"WIER42","Wierzbięcice",52.4017301500,16.9209242000,A
2185,"ZSNZ01","Żerniki/Skrzyżowanie",52.3265599102,17.0429654350,B
1552,"OSNZ02","Ostrowska",52.3522132200,17.0027901000,A
1338,"CZGLU01","Czapury/Głuszynka",52.3180093000,16.9129402900,B
756,"POLN02","Polna Szpital",52.4092260700,16.8907428300,A
1019,"URAD01","Uradzka",52.3558237000,16.8589186200,A
1805,"ROSTW01","Rosnówko/Stawnego",52.2996148486,16.7719575409,C
4041,"BLAZ41","Błażeja",52.4555420067,16.9446357901,A
418,"UAMG01","UAM Wydział Geografii",52.4641879876,16.9410792174,A
192,"DEEC41","Dębiec PKM",52.3728856000,16.9031857800,A
820,"MALI01","Malinowa",52.3694780000,16.9099020000,A
13,"BONN42","Bonin",52.4302063000,16.9106352900,A
2055,"RUNOW02","Rumianek/Nowa I",52.4632074200,16.6385049000,C
1058,"OPOL02","Opolska",52.3673783800,16.8970541200,A
92,"RYLA71","Rynek Łazarski",52.3939634477,16.8985036470,A
2268,"KXRSP02","Komorniki gm.Kleszczewo/RSP",52.3334087300,17.1111046500,B
1279,"CZEK02","Czekalskie",52.4048195500,16.9843631500,A
3871,"WITWI02","Witkowice/",52.4977040000,16.5294930000,C
2385,"PTCED02","Potasze/Cedrowa",52.5221500000,17.0168403000,C
1744,"PLRYN02","Plewiska/Rynek",52.3694412800,16.8137228500,B
135,"ROSR44","Rondo Śródka",52.4095004300,16.9564208700,A
1311,"KAPLA02","Kamionki/Platanowa",52.2892556900,16.9782593900,B
895,"PUPKM02","Puszczykowo/PKM",52.2946202200,16.8683995900,C
4047,"NARA71","Naramowice",52.4458593723,16.9451375473,A
2673,"DZLES01","Dziećmierowo/Leśna",52.2709152500,17.0980362200,C
2981,"KOKOL01","Komorniki/Kolejowa",52.3523200000,16.8274218800,B
57,"PIAT42","Piątkowska",52.4414917400,16.9105875300,A
2082,"JNPAL01","Jankowice/Pałac",52.4408779500,16.6172356000,C
766,"MARC04","Marcelińska",52.4048603400,16.8755535000,A
4132,"RYBI01","Rybitwy",52.4262086000,17.0639211800,A
3743,"KDBWI02","Kórnik/Bnin Witosa",52.2257259700,17.0909695900,C
2110,"GRSZK02","Góra/Szkolna",52.4820531500,16.6331125800,C
933,"LUSTP04","Luboń/Straż Pożarna",52.3463001780,16.8772675133,B
3695,"WOPO06","Wojska Polskiego",52.4288646237,16.8969245877,A
1385,"SWAN01","Św. Antoniego",52.3640272200,16.9273255500,A
1173,"CMEN01","Gnieźnieńska Cmentarz",52.4251790400,16.9937703300,A
3548,"KEPI02","Kępińska",52.3710635000,16.8786349000,A
3226,"KOTRU02","Komorniki/Truskawkowa",52.3273359738,16.8225612258,B
600,"BRAN02","Braniewska",52.4351872600,16.8231796800,A
1303,"KALIS01","Kamionki/Lisia",52.2840455900,17.0066226900,B
1403,"FORT02","Forteczna",52.3677415500,16.9386690700,A
906,"LUKRE02","Luboń/Kręta",52.3201162523,16.8781972398,B
1919,"SOKAS01","Sobota/Kasztanowa",52.5209760900,16.8035649400,B
438,"BIMLY01","Biedrusko/Młyn",52.5148237600,16.9394120800,B
4250,"GROT92","Grotkowska",52.3862048812,16.8433841477,A
1864,"MRSZA02","Mrowino/Szkoła",52.5132105000,16.6996795400,B
2155,"TULES02","Tulce/Leśna",52.3440963600,17.0730848500,B
2434,"LOLIP02","Łowęcin/Lipowa",52.4136140000,17.1214650000,C
2295,"KFDWR02","Karłowice/Dwór",52.4948070000,17.1013400000,C
2539,"SDPOG02","Swarzędz/Pogodna/Kórnicka",52.3995840000,17.0778710000,B
588,"STOB01","Stobnicka",52.4539974300,16.8010815400,A
2857,"ROSK03","Rondo Skubiszewskiego",52.3895752042,16.8544080476,A
1183,"JANI02","Janikowo",52.4365520000,17.0178593100,A
2115,"KMSTO02","Kaźmierz/Storczykowa",52.5096283700,16.5890612400,C
2542,"ZAGLE01","Zalasewo/Glebowa",52.3906200000,17.0757250000,B
1800,"SZDWO01","Szreniawa/Dworcowa",52.3186450896,16.7936954318,C
1832,"KCJON01","Kicin/Jonschera",52.4576270600,17.0168938300,B
302,"SLKOS01","Suchy Las/Kościół",52.4731420800,16.8772196700,B
4242,"TPTER02","Tarnowo Pdg/Termy",52.4634689500,16.6418115100,C
243,"CHSZK02","Chludowo/Szkoła",52.5561078600,16.8443741700,C
2521,"SDFIE02","Swarzędz/Pogodna/Średzka",52.4004940000,17.0842360000,B
3945,"KDPOP02","Kórnik/Poprzeczna",52.2505209837,17.0850097331,C
1318,"DALES01","Daszewice/Leśna",52.3024275300,16.9533250100,B
1982,"BTPOR01","Batorowo/Poranek",52.4219326200,16.7396233700,C
70,"RONJ41","Rondo Nowaka-Jeziorańskiego",52.4023512573,16.8882176253,A
4228,"RKROS03","Rokietnica/ROS",52.5122810000,16.7415660000,B
160,"KORN43","Kórnicka",52.3990164300,16.9534845600,A
1813,"SYNZ02","Sycowska II",52.3614846600,16.8366733400,A
1551,"CHRZ01","Chrzanowska",52.3473471800,17.0053267100,A
981,"LUPBO02","Luboń/Pl. Bojanowskiego",52.3497457016,16.8614916780,B
2761,"DHKLO01","Dachowa/Klonowa",52.2961681100,17.0990619100,B
1582,"PALA01","Palacza",52.3883175400,16.8811340200,A
63,"PONA71","Polna",52.4142148300,16.8972021400,A
1680,"ROLN03","Rolna",52.3843438100,16.9170321200,A
1136,"MAGA02","Małe Garbary",52.4104549400,16.9380900400,A
533,"LUTY02","Lutycka",52.4387976400,16.8957417100,A
1047,"OKUL01","Okulickiego",52.3599960000,16.8807681800,A
1873,"MRGNI01","Mrowino/Gniewka",52.5150124100,16.7196945800,B
3378,"ZLOSI02","Złotniki/Osiedle",52.4887761100,16.8543785300,B
4106,"OSKA02","Oświęcimska",52.3540567377,16.9378620686,A
2614,"RBWEZ01","Robakowo/Węzeł",52.2968074200,17.0513468000,B
2166,"TUKOS01","Tulce/Kościół",52.3420328900,17.0805671900,B
1958,"PMLES01","Przeźmierowo/Leśna",52.4315745011,16.7827453197,B
1278,"TORM01","Tor Regatowy Malta",52.4024683690,16.9894249950,A
2171,"PRPLN01","Promnice/Północna",52.5413062000,16.9655419200,C
353,"STRS02","Strzeszyn PKM",52.4619623700,16.8667445600,A
1702,"CMNA41","Cmentarna",52.3851815900,16.8390540000,A
2750,"RBSKO01","Robakowo/Szkolna Rondo",52.3088719400,17.0704373300,B
681,"DKPAR01","Dąbrówka/Parkowa",52.3843408400,16.7438659300,C
666,"MALW02","Malwowa",52.3977844500,16.8041007800,A
1322,"BBOSZ01","Babki/Ośrodek Zdrowia",52.3136827700,16.9360199100,B
2352,"UZSKR03","Uzarzewo/Skrzyżowanie",52.4603310000,17.1127990000,C
2561,"TULES03","Tulce/Leśna",52.3447680000,17.0739390000,B
2355,"UZKOS01","Uzarzewo/Centrum (Kościół)",52.4489120000,17.1266600000,C
1199,"KZSZK02","Koziegłowy/Szkoła",52.4456163792,16.9910040543,B
2195,"OWKSP02","Owińska/Ks. Piotrowskiego",52.5172277800,16.9745642100,C
955,"WIBRZ02","Wiry/Brzoskwiniowa",52.3293663082,16.8368760623,B
4218,"PERK01","Perkoza",52.4248039972,17.0649099318,A
1393,"STAR21","Starołęka PKM",52.3662288200,16.9300926300,A
4217,"PERK02","Perkoza",52.4244618431,17.0650575074,A
2438,"LOPOP01","Łowęcin/II (Poprzeczna)",52.4198620000,17.1413830000,C
1151,"KORO01","Koronkarska",52.4166131800,16.9602661700,A
2570,"MGNRY01","M. Goślina/Nowy Rynek",52.5673982400,16.9954782300,C
1234,"SCDZ02","Schronisko Dla Zwierząt",52.3891142900,17.0251558600,A
2513,"JSEKO01","Jasin/Rabowicka Pętla",52.3980640000,17.1091890000,B
4207,"KOTUL01","Komorniki/Tulipanowa",52.3484700000,16.8136300000,B
4119,"CMEP01","Cmentarna Parking",52.3901158738,16.8305450676,A
1983,"BTPOR02","Batorowo/Poranek",52.4218438200,16.7399436000,C
589,"SLUP01","Słupska",52.4483028600,16.8043734200,A
2261,"NGOZD01","Nagradowice/Ośrodek Zdrowia",52.3208087900,17.1473302500,B
2982,"KOKOL02","Komorniki/Kolejowa",52.3522075400,16.8273563100,B
985,"LUSIK02","Luboń/Sikorskiego",52.3489339532,16.8723827598,B
162,"KORN45","Kórnicka",52.3998253300,16.9528595100,A
1807,"RODKU01","Rosnówko/Dom Kultury",52.3044454046,16.7622765793,C
3734,"XOPKP01","Kobylnica/Stacja",52.4458323731,17.0806119792,B
1950,"BNRUB01","Baranowo/Os. Rubinowe",52.4289070000,16.7996410000,B
1207,"CZEA02","Czerwonacka",52.4348153317,16.9800391847,A
625,"SZPI02","Szpitalna",52.4121991900,16.8769750800,A
484,"WISE02","Wilczak/Serbska",52.4309139700,16.9539992500,A
